nct_id,Type,Value,Action
NCT02095353,Tag,Musella Foundation,Remove
NCT01654497,Tag,Musella Foundation,Remove
NCT02082119,Tag,Musella Foundation,Remove
NCT01026493,Tag,Musella Foundation,Remove
NCT01707836,Tag,Musella Foundation,Remove
NCT02076477,Tag,Musella Foundation,Remove
NCT03180268,Tag,Musella Foundation,Remove
NCT02168075,Tag,Musella Foundation,Remove
NCT02175745,Tag,Musella Foundation,Remove
NCT01109095,Tag,Musella Foundation,Remove
NCT01668082,Tag,Musella Foundation,Remove
NCT01792505,Tag,Musella Foundation,Remove
NCT02122822,Tag,Musella Foundation,Remove
NCT01822275,Tag,Musella Foundation,Remove
NCT01800032,Tag,Musella Foundation,Remove
NCT02119338,Tag,Musella Foundation,Remove
NCT02215512,Tag,Musella Foundation,Remove
NCT01089101,Tag,Musella Foundation,Remove
NCT03208387,Tag,Musella Foundation,Remove
NCT01578668,Tag,Musella Foundation,Remove
NCT02147028,Tag,Musella Foundation,Remove
NCT02299089,Tag,Musella Foundation,Remove
NCT00887146,Tag,Musella Foundation,Remove
NCT01106794,Tag,Musella Foundation,Remove
NCT02960230,Tag,Musella Foundation,Remove
NCT02165995,Tag,Musella Foundation,Remove
NCT02166658,Tag,Musella Foundation,Remove
NCT02167204,Tag,Musella Foundation,Remove
NCT01861405,Tag,Musella Foundation,Remove
NCT02234050,Tag,Musella Foundation,Remove
NCT02099487,Tag,Musella Foundation,Remove
NCT01122888,Tag,Musella Foundation,Remove
NCT01125046,Tag,Musella Foundation,Remove
NCT02209376,Tag,Musella Foundation,Remove
NCT02274987,Tag,Musella Foundation,Remove
NCT02162732,Tag,Musella Foundation,Remove
NCT02632370,Tag,Musella Foundation,Remove
NCT03179176,Tag,Musella Foundation,Remove
NCT00470366,Tag,Musella Foundation,Remove
NCT02206230,Tag,Musella Foundation,Remove
NCT02197637,Tag,Musella Foundation,Remove
NCT01985256,Tag,Musella Foundation,Remove
NCT02067156,Tag,Musella Foundation,Remove
NCT02221986,Tag,Musella Foundation,Remove
NCT02233049,Tag,Musella Foundation,Remove
NCT01837862,Tag,Musella Foundation,Remove
NCT02265549,Tag,Musella Foundation,Remove
